,Title,Snippet,Date,SourceIds,label,Year,Month,Day
0,Zurich Insurance PLC v Niramax Group Limited [2021] ...,"5 May 2021 - ... Chambers Social Responsibility · Complaints Procedure ... In Zurich Insurance PLC v Niramax Group Limited, dealing with a contract ...",2021-05-05,"['d59499b9-4d75-4aec-9e85-fecccb89b476', '97d7dbc6-c8b9-411e-87f9-03774d5d8bdb']",0,2021.0,5.0,5.0
1,Zurich Insurance PLC v Niramax Group Limited [2021] ...,"5 May 2021 - ... Chambers Social Responsibility · Complaints Procedure ... In Zurich Insurance PLC v Niramax Group Limited, dealing with a contract ...",2021-05-05,"['d59499b9-4d75-4aec-9e85-fecccb89b476', '97d7dbc6-c8b9-411e-87f9-03774d5d8bdb']",0,2021.0,5.0,5.0
2,Non-disclosure to insurers (pre-Insurance Act 2015),"29 Jul 2021 - In December 2015, waste collection and recycling company Niramax Group Limited suffered a fire at its main premises in Hartlepool. The fire ...",2021-07-29,"['1afc8049-8272-425f-aea1-23d0dda39eb3', 'c43a9f91-a062-47be-a1f9-25175a840609']",0,2021.0,7.0,29.0
3,Non-disclosure to insurers (pre-Insurance Act 2015),"29 Jul 2021 - In December 2015, waste collection and recycling company Niramax Group Limited suffered a fire at its main premises in Hartlepool. The fire ...",2021-07-29,"['1afc8049-8272-425f-aea1-23d0dda39eb3', 'c43a9f91-a062-47be-a1f9-25175a840609']",1,2021.0,7.0,29.0
4,Recycling firm Niramax fined Â£16000 over environmental ...,15 Jan 2018 - Niramax Group Ltd pleaded guilty to offences relating to the storing of a huge pile of shredded tyres at its Tofts Road site in Hartlepool ...,2018-01-15,"['be8451e5-537a-4088-8763-2dfbd7a77ad5', '5e7bf3cd-e26a-4c87-b10d-6869c10788a4']",1,2018.0,1.0,15.0
5,Recycling firm Niramax fined Â£16000 over environmental ...,15 Jan 2018 - Niramax Group Ltd pleaded guilty to offences relating to the storing of a huge pile of shredded tyres at its Tofts Road site in Hartlepool ...,2018-01-15,"['be8451e5-537a-4088-8763-2dfbd7a77ad5', '5e7bf3cd-e26a-4c87-b10d-6869c10788a4']",1,2018.0,1.0,15.0
6,Contact us - Niramax Group Limited,Niramax Group Limited John Shadforth House Thomlinson Road Longhill Industrial Estate Hartlepool TS25 1NS. Telephone: 01429 276 961. Fax: 01429 864320.,,"['11c72183-4331-44e5-ad37-5d93ee6c67ea', '9d1c2541-93a1-4c3d-be17-ce6a68fe0de2']",Label: 0,,,
7,Contact us - Niramax Group Limited,Niramax Group Limited John Shadforth House Thomlinson Road Longhill Industrial Estate Hartlepool TS25 1NS. Telephone: 01429 276 961. Fax: 01429 864320.,,"['11c72183-4331-44e5-ad37-5d93ee6c67ea', '9d1c2541-93a1-4c3d-be17-ce6a68fe0de2']",Label: 0,,,
8,NIRAMAX ENERGY LIMITED overview - Find and update company ...,"NIRAMAX ENERGY LIMITED - Free company information from Companies House including registered office address, filing history, accounts, annual return, ...",,['7588f5db-653a-4ff1-9b47-ef66c5348683'],Label: 0,,,
9,niramax holdings limited - Companies House - GOV.UK,"Name, Period. NIRAMAX WASTE SERVICES LIMITED, 14 Feb 2008 - 02 Jun 2009. NIRAMAX GROUP LIMITED, 23 Jan 2008 - 14 Feb 2008. NIRAMAX WASTE SERVICES LIMITED ...",,"['cf53a197-445a-4a3a-8056-41a35437ef71', '7853423b-62cb-4618-aa2e-a843d6c2030c']",Label: 0,,,
10,niramax holdings limited - Companies House - GOV.UK,"Name, Period. NIRAMAX WASTE SERVICES LIMITED, 14 Feb 2008 - 02 Jun 2009. NIRAMAX GROUP LIMITED, 23 Jan 2008 - 14 Feb 2008. NIRAMAX WASTE SERVICES LIMITED ...",,"['cf53a197-445a-4a3a-8056-41a35437ef71', '7853423b-62cb-4618-aa2e-a843d6c2030c']",Label: 0,,,
11,ne european recruitment limited - Companies House - GOV.UK,"NIRAMAX EUROPEAN RECRUITMENT LIMITED, 25 May 2007 - 12 Oct 2010 ...",,['0bd2dd1f-e668-4fae-a237-5e055476926f'],Label: 0,,,
12,NIRAMAX GROUP LIMITED :: United Kingdom :: OpenCorporates,"Free and open company data on United Kingdom company NIRAMAX GROUP LIMITED (company number 04216946), ... NIRAMAX RECYCLING & MANUFACTURING LTD.",,['4d21c619-dbc0-4749-b8b4-e65e85c34c9e'],Label: 0,,,
13,Supporting Brampton's LGBTQ Community: Resources for ...,Brutal killing in Hartlepool linked to Gilberdyke waste mountain Niramax boss Neil Elliott has been convicted of manslaughter…. Lindsay Birbeck murder trial ...,,"['4e84c73f-3daa-46d6-a37f-e8b8be7fb96d', '569c5135-9100-4378-ad6e-0569f9071ebe']",Label: 1,,,
14,Supporting Brampton's LGBTQ Community: Resources for ...,Brutal killing in Hartlepool linked to Gilberdyke waste mountain Niramax boss Neil Elliott has been convicted of manslaughter…. Lindsay Birbeck murder trial ...,,"['4e84c73f-3daa-46d6-a37f-e8b8be7fb96d', '569c5135-9100-4378-ad6e-0569f9071ebe']",Label: 1,,,
15,Government 'Close to Decriminalising Waste Crime and Fly ...,"19 Oct 2022 - HMRC spent six years investigating suspected £78m landfill tax evasion run by Niramax, a waste disposal company based in North East England, ...",2022-10-18,"['70ed0078-1489-422e-8ec8-b0b57aaa4828', 'e3ef89fa-33ac-4edd-9e5f-39dabefd746a']",1,2022.0,10.0,18.0
16,Government 'Close to Decriminalising Waste Crime and Fly ...,"19 Oct 2022 - HMRC spent six years investigating suspected £78m landfill tax evasion run by Niramax, a waste disposal company based in North East England, ...",2022-10-18,"['70ed0078-1489-422e-8ec8-b0b57aaa4828', 'e3ef89fa-33ac-4edd-9e5f-39dabefd746a']",1,2022.0,10.0,18.0
17,Underwriting on trial,"30 Jul 2021 - In the first case, Zurich Insurance plc v Niramax Group Ltd ... Niramax, the insured, was in the business of waste collection and recycling.",2021-07-30,"['c3b652ae-7b4b-4d9a-8298-ca75b8c169fb', '4c0571bb-9be2-4e78-91d6-5267b6edddc3']",0,2021.0,7.0,30.0
18,Underwriting on trial,"30 Jul 2021 - In the first case, Zurich Insurance plc v Niramax Group Ltd ... Niramax, the insured, was in the business of waste collection and recycling.",2021-07-30,"['c3b652ae-7b4b-4d9a-8298-ca75b8c169fb', '4c0571bb-9be2-4e78-91d6-5267b6edddc3']",0,2021.0,7.0,30.0
19,Fire crews spend hours tackling a huge blaze at Niramax in ...,"18 Sept 2017 - Two separate fires broke out at the Niramax site on Sunday afternoon, with one starting on a conveyor belt and the other in a pile of ...",2017-09-18,"['3454c958-5809-45fe-8d77-a4cf21eceda4', '3f27f141-c6bf-4cc3-b816-711e24f073df']",Label: 0,2017.0,9.0,18.0
